Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2024-08-20 15:23 (CET),,,0,Walking,,18 sec Outdoor Walking,,0,,,,0,0,1,,,
2024-08-22 11:12 (GMT),,,62,Cycling,,62 min 33 sec Just Ride,,0,0,0%,0,0,0,295,,,
2024-08-22 20:44 (GMT),,,77,Meditation,,77 min 45 sec Just Meditate,,,,,,,,61,,,
2024-08-22 09:42 (GMT),,,46,Running,,46 min 32 sec Just Run,,0,,,,0,0,366,,0,
2024-08-23 22:37 (GMT),,,10,Meditation,,10 min Just Meditate,,,,,,,,8,,,
2024-08-20 20:47 (GMT),,,58,Cycling,,58 min 46 sec Just Ride,,0,0,0%,0,0,0,277,,,
2024-08-21 20:50 (GMT),,,57,Cycling,,57 min 37 sec Just Ride,,0,0,0%,0,0,0,271,,,
2024-08-24 21:09 (+01),On Demand,Denis Morton,30,Cycling,Power Zone,30 min Power Zone Ride,2024-07-16 22:23 (+01),75,136,41%,85,18.07,2.77,101,,,
2024-08-24 21:20 (GMT),,,31,Cycling,,31 min Entertainment Ride,,305,163,48%,76,19.43,10.07,412,,,
2024-08-24 21:53 (+01),On Demand,Hannah Corbin,20,Stretching,Full Body Stretch,20 min Cardi B Full Body Stretch,2024-03-28 15:00 (+01),,,,,,,52,,,
2024-08-25 09:02 (GMT),,,71,Cardio,,71 min 52 sec Just Cardio,,,,,,,,333,,,
2024-08-26 13:27 (+01),On Demand,Jess Sims,30,Running,Intervals,30 min Intervals Run,2024-07-31 11:00 (+01),750,,,,9.09,4.54,454,158.15,2.26,6:36
2024-08-26 14:11 (+01),On Demand,Tobias Heinze,5,Running,Cool Down,5 min Cool Down Run,2024-06-29 15:00 (+01),34,,,,2.60,0.22,26,97.91,1.00,23:05
2024-08-26 17:56 (GMT),,,130,Cardio,,130 min 38 sec Just Cardio,,,,,,,,605,,,
2024-08-26 23:22 (+01),On Demand,Nico Sarani,30,Yoga,Flow,30 min Yoga Flow,2024-08-25 17:28 (+01),,,,,,,92,,,
2024-08-27 01:02 (GMT),On Demand,Ross Rayburn,30,Meditation,Sleep,30 min Sleep Meditation,2023-05-31 16:00 (GMT),,,,,,,,,,
2024-08-27 22:21 (GMT),On Demand,Chelsea Jackson Roberts,60,Yoga,Restorative,60 min Restorative,2024-08-25 13:22 (GMT),,,,,,,22,,,
